customer_id,name,email,country,join_date
1,Allison Hill,jillrhodes@miller.com,Djibouti,2024-08-26
2,Kristina Baldwin,shaneramirez@gmail.com,Senegal,2025-04-16
3,Jay Ramirez,curtis61@abbott-munoz.com,Saint Lucia,2024-07-21
4,Valerie Gray,barbara10@hotmail.com,Denmark,2025-03-22
5,Bobby Hall,oramirez@martin-kelly.com,Reunion,2025-07-27
6,Andrea Reid,stevennelson@watts.com,Denmark,2025-04-29
7,Ethan Adams,jason76@ellis.net,Martinique,2024-02-20
8,Jessica Silva,wendytaylor@yahoo.com,Bermuda,2025-03-09
9,Brian Burton,cruzcaitlin@yahoo.com,Malta,2024-02-11
10,Shannon Smith,kayla51@graham-chavez.com,Macao,2025-03-13
11,Thomas Harrell,ericfarmer@hotmail.com,Zimbabwe,2025-03-26
12,Tamara George,rodriguezmichael@yahoo.com,Dominican Republic,2023-09-13
13,Keith Miller,spenceamanda@gmail.com,Brunei Darussalam,2024-12-24
14,Joshua Baker,sarahcampos@hotmail.com,Cook Islands,2025-02-03
15,Zachary Santos,omartinez@gmail.com,Guadeloupe,2023-08-16
16,Crystal Robinson,perezrebecca@jones-young.info,Croatia,2024-09-21
17,Timothy Duncan,kristenaguirre@gmail.com,Bhutan,2023-10-14
18,Heather Jenkins,brownjessica@wright.net,Kiribati,2023-11-16
19,Donald Wright,jmorton@williams.com,Bermuda,2025-07-19
20,Cynthia Russell,michellebarrera@gmail.com,Hong Kong,2023-08-01
21,Mrs. Rachel Gibson,smoore@gmail.com,Azerbaijan,2024-10-22
22,Amy Edwards,hshaw@brown.com,Thailand,2023-12-22
23,Barry Hensley,davidashley@hotmail.com,Nauru,2023-08-30
24,Jennifer Silva,james53@yahoo.com,Indonesia,2023-11-09
25,Elizabeth Stewart,ellisyolanda@jones.net,Estonia,2023-11-10
26,Shirley Suarez,eric84@hotmail.com,Sri Lanka,2024-12-19
27,Mary Spencer,josephpreston@tran.com,Costa Rica,2025-01-14
28,Deborah Freeman,waltersmaria@smith.com,Central African Republic,2025-02-25
29,Michael Hoffman,landryhannah@gardner.org,Mexico,2023-11-23
